日付,ビュー合計,スキ合計,記事数,ビュー/記事,スキ/記事,スキ率(%),ビュー前日比(%),スキ前日比(%),スキ率前日比(%),フォロワー数,更新時刻
2026/03/07,39798,3173,224,177.67,14.17,7.97,0.0,0.0,0.0,412,22:32:48
2026/03/08,39926,3187,225,177.45,14.16,7.98,0.32,0.44,0.15,413,12:35:39
2026/03/09,40175,3215,225,178.56,14.29,8.0,0.62,0.88,0.28,415,12:39:35
2026/03/10,40803,3264,227,179.75,14.38,8.0,1.56,1.52,-0.01,419,12:31:34
2026/03/11,41199,3283,227,181.49,14.46,7.97,0.97,0.58,-0.39,420,12:31:25
2026/03/12,41669,3305,228,182.76,14.5,7.93,1.14,0.67,-0.48,418,12:37:27
2026/03/13,42126,3331,230,183.16,14.48,7.91,1.1,0.79,-0.29,418,12:33:58
2026/03/14,42731,3378,232,184.19,14.56,7.91,1.44,1.41,-0.06,422,23:34:41
2026/03/15,42886,3385,232,184.85,14.59,7.89,0.36,0.21,-0.21,422,12:55:41
2026/03/16,43256,3425,234,184.85,14.64,7.92,0.86,1.18,0.35,428,13:00:01
2026/03/17,43814,3467,236,185.65,14.69,7.91,1.29,1.23,-0.09,429,12:39:46
2026/03/18,44374,3499,238,186.45,14.7,7.89,1.28,0.92,-0.31,433,12:46:05
2026/03/19,44760,3520,239,187.28,14.73,7.86,0.87,0.6,-0.33,435,12:45:51
2026/03/20,45306,3558,241,187.99,14.76,7.85,1.22,1.08,-0.09,434,12:35:58
2026/03/21,45695,3594,242,188.82,14.85,7.87,0.86,1.01,0.19,440,12:27:26
2026/03/22,45836,3603,242,189.4,14.89,7.86,0.31,0.25,-0.12,441,06:16:14
2026/03/23,46318,3635,244,189.83,14.9,7.85,1.05,0.89,-0.15,443,06:17:42
2026/03/24,46983,3681,246,190.99,14.96,7.83,1.44,1.27,-0.19,444,06:26:47
2026/03/25,47642,3723,248,192.1,15.01,7.81,1.4,1.14,-0.2,444,06:28:41
2026/03/26,48280,3767,250,193.12,15.07,7.8,1.34,1.18,-0.1,446,06:30:20
2026/03/27,48878,3812,252,193.96,15.13,7.8,1.24,1.19,-0.01,452,06:23:07
2026/03/28,49312,3844,253,194.91,15.19,7.8,0.89,0.84,-0.06,454,06:25:56
2026/03/29,49614,3870,254,195.33,15.24,7.8,0.61,0.68,0.0,453,06:20:53
2026/03/30,49953,3908,255,195.89,15.33,7.82,0.68,0.98,0.3,455,06:22:25
2026/03/31,50331,3938,256,196.61,15.38,7.82,0.76,0.77,0.05,455,06:33:28
2026/04/01,50729,3971,257,197.39,15.45,7.83,0.79,0.84,0.1,453,06:28:53
2026/04/02,51219,4006,259,197.76,15.47,7.82,0.97,0.88,-0.11,454,06:34:01
2026/04/03,51754,4039,260,199.05,15.53,7.8,1.04,0.82,-0.2,453,06:27:17
2026/04/04,52482,4083,262,200.31,15.58,7.78,1.41,1.09,-0.26,455,06:24:22
2026/04/05,52872,4142,263,201.03,15.75,7.83,0.74,1.45,0.69,458,06:22:25
2026/04/06,53245,4173,264,201.69,15.81,7.84,0.71,0.75,0.09,458,06:21:58
2026/04/07,53670,4198,265,202.53,15.84,7.82,0.8,0.6,-0.23,462,06:29:36
2026/04/08,54222,4233,266,203.84,15.91,7.81,1.03,0.83,-0.17,463,06:35:33
2026/04/09,55151,4269,267,206.56,15.99,7.74,1.71,0.85,-0.89,468,06:35:17
2026/04/10,55936,4318,269,207.94,16.05,7.72,1.42,1.15,-0.26,472,06:38:35
2026/04/11,56550,4366,271,208.67,16.11,7.72,1.1,1.11,0.01,476,06:27:26
2026/04/12,57107,4404,273,209.18,16.13,7.71,0.98,0.87,-0.11,478,06:23:36
2026/04/13,57602,4434,274,210.23,16.18,7.7,0.87,0.68,-0.16,481,06:24:47
2026/04/14,58151,4463,275,211.46,16.23,7.67,0.95,0.65,-0.33,483,06:39:35
2026/04/15,59007,4515,277,213.02,16.3,7.65,1.47,1.17,-0.24,487,06:42:05
